Description,Wall Thickness,Part Number,Price
Aluminum Oxide,4,2.1,EVCEB-22ALO,€211.00
Aluminum Oxide,7,4.4,EVCEB-4ALO,€117.00
Aluminum Oxide,15,8.2,EVCEB-13ALO,€193.00
Aluminum Oxide,25 (4 Pocket),17.1,EVCEB-16ALO,€190.00
Aluminum Oxide,25 (6 Pocket),16.3,EVCEB-25ALO,€190.00
Aluminum Oxide,30 (With Web),21.9,EVCEB-26ALO,P.O.R.
Aluminum Oxide,40,30.4,EVCEB-6ALO,€283.00
Aluminum Oxide,6,2.4,EVCEB-5ALO,P.O.R.
Aluminum Oxide,12,7.4,EVCEB-33ALO,€153.00
Aluminum Oxide,12,5.6,EVCEB-31ALO,P.O.R.
Aluminum Oxide,20,14.6,EVCEB-29ALO,P.O.R.
Aluminum Oxide,7,3.7,EVCEB-23ALO,€117.00
Aluminum Oxide,3,1.4,EVCEB-21ALO,P.O.R.
Aluminum Oxide,2,0.84,EVCEB-20ALO,P.O.R.
Aluminum Oxide,4,2.1,EVCEB-22ALO,€211.00
Aluminum Oxide,7,4.4,EVCEB-4ALO,€117.00
Aluminum Oxide,15,8.2,EVCEB-13ALO,€193.00
Aluminum Oxide,25 (4 Pocket),17.1,EVCEB-16ALO,€190.00
Aluminum Oxide,25 (6 Pocket),16.3,EVCEB-25ALO,€190.00
Aluminum Oxide,30 (With Web),21.9,EVCEB-26ALO,P.O.R.
Aluminum Oxide,40,30.4,EVCEB-6ALO,€283.00
Aluminum Oxide,6,2.4,EVCEB-5ALO,P.O.R.
Aluminum Oxide,12,7.4,EVCEB-33ALO,€153.00
Aluminum Oxide,12,5.6,EVCEB-31ALO,P.O.R.
Aluminum Oxide,20,14.6,EVCEB-29ALO,P.O.R.
Aluminum Oxide,7,3.7,EVCEB-23ALO,€117.00
Aluminum Oxide,3,1.4,EVCEB-21ALO,P.O.R.
Aluminum Oxide,2,0.84,EVCEB-20ALO,P.O.R.
Boron Nitride,7,4.4,EVCEB-4BN,€221.00
Boron Nitride,15,8.2,EVCEB-13BN,€246.00
Boron Nitride,25 (4 Pocket),17.1,EVCEB-16BN,P.O.R.
Boron Nitride,25 (6 Pocket),16.3,EVCEB-25BN,P.O.R.
Boron Nitride,30 (With Web),21.9,EVCEB-26BN,P.O.R.
Boron Nitride,30 (Without Web),20.2,EVCEB-9BN,P.O.R.
Boron Nitride,40,30.4,EVCEB-6BN,P.O.R.
Boron Nitride,2,0.84,EVCEB-20BN,P.O.R.
Boron Nitride,4,2.1,EVCEB-22BN,P.O.R.
Boron Nitride,7,3.7,EVCEB-23BN,P.O.R.
Boron Nitride,20,14.6,EVCEB-29BN,P.O.R.
Boron Nitride,12,7.4,EVCEB-33BN,P.O.R.
Boron Nitride,4,1.8,EVCEB-3BN,€211.00
Boron Nitride,7,4.4,EVCEB-4BN,€221.00
Boron Nitride,15,8.2,EVCEB-13BN,€246.00
Boron Nitride,25 (4 Pocket),17.1,EVCEB-16BN,P.O.R.
Boron Nitride,25 (6 Pocket),16.3,EVCEB-25BN,P.O.R.
Boron Nitride,30 (With Web),21.9,EVCEB-26BN,P.O.R.
Boron Nitride,30 (Without Web),20.2,EVCEB-9BN,P.O.R.
Boron Nitride,40,30.4,EVCEB-6BN,P.O.R.
Boron Nitride,2,0.84,EVCEB-20BN,P.O.R.
Boron Nitride,4,2.1,EVCEB-22BN,P.O.R.
Boron Nitride,7,3.7,EVCEB-23BN,P.O.R.
Boron Nitride,20,14.6,EVCEB-29BN,P.O.R.
Boron Nitride,12,7.4,EVCEB-33BN,P.O.R.
Boron Nitride,4,1.8,EVCEB-3BN,€211.00
Copper,4,2.1,EVCEB-22CU,€70.00
Copper,7,4.4,EVCEB-4CU,€70.00
Copper,15,8.2,EVCEB-13CU,€75.00
Copper,25 (4 Pocket),12.8,EVCEB-16CU,€112.00
Copper,25 (6 Pocket),16.3,EVCEB-25CU,€171.00
Copper,30 (With Web),21.9,EVCEB-26CU,P.O.R.
Copper,30 (Without Web),18.5,EVCEB-9MCU,P.O.R.
Copper,40,17.0,EVCEB-6MCU,€102.00
Copper,15,3.9,EVCEB-13MCU,P.O.R.
Copper,62,47.6,EVCEB-17CU,P.O.R.
Copper,2,0.84,EVCEB-20CU,P.O.R.
Copper,3,1.4,EVCEB-21CU,P.O.R.
Copper,7,3.7,EVCEB-23CU,€102.00
Copper,20,14.6,EVCEB-29CU,P.O.R.
Copper,12,5.6,EVCEB-31CU,P.O.R.
Copper,12,7.4,EVCEB-33CU,€136.00
Copper,4,2.1,EVCEB-22CU,€70.00
Copper,7,4.4,EVCEB-4CU,€70.00
Copper,15,8.2,EVCEB-13CU,€75.00
Copper,25 (4 Pocket),12.8,EVCEB-16CU,€112.00
Copper,25 (6 Pocket),16.3,EVCEB-25CU,€171.00
Copper,30 (With Web),21.9,EVCEB-26CU,P.O.R.
Copper,30 (Without Web),18.5,EVCEB-9MCU,P.O.R.
Copper,40,17.0,EVCEB-6MCU,€102.00
Copper,15,3.9,EVCEB-13MCU,P.O.R.
Copper,62,47.6,EVCEB-17CU,P.O.R.
Copper,2,0.84,EVCEB-20CU,P.O.R.
Copper,3,1.4,EVCEB-21CU,P.O.R.
Copper,7,3.7,EVCEB-23CU,€102.00
Copper,20,14.6,EVCEB-29CU,P.O.R.
Copper,12,5.6,EVCEB-31CU,P.O.R.
Copper,12,7.4,EVCEB-33CU,€136.00
FABMATE,1,0.24,EVCFABEB-1,€174.00
FABMATE,10,4.8,EVCFABEB-2,€110.00
FABMATE,4,1.8,EVCFABEB-3,€82.00
FABMATE,7,4.4,EVCFABEB-4,€102.00
FABMATE,N/A,2.4,EVCFABEB-5,€83.00
FABMATE,40,30.4,EVCFABEB-6,€207.00
FABMATE,40,17.0,EVCFABEB-6M,P.O.R.
FABMATE,N/A,126.0,EVCFABEB-7,P.O.R.
FABMATE,40,30.2,EVCFABEB-8,€250.00
FABMATE,40,16.9,EVCFABEB-8M,P.O.R.
FABMATE,30,20.2,EVCFABEB-9,€162.00
FABMATE,30,10.3,EVCFABEB-9M,€163.00
FABMATE,N/A,2.8,EVCFABEB-10,P.O.R.
FABMATE,N/A,2.3,EVCFABEB-11,P.O.R.
FABMATE,156,94.7,EVCFABEB-12M,P.O.R.
FABMATE,15,8.2,EVCFABEB-13,€141.00
FABMATE,15,3.9,EVCFABEB-13M,€146.00
FABMATE,N/A,27.1,EVCFABEB-14M,P.O.R.
FABMATE,N/A,16.2,EVCFABEB-15,P.O.R.
FABMATE,25 (4 Pocket),17.1,EVCFABEB-16,€141.00
FABMATE,62,47.6,EVCFABEB-17,P.O.R.
FABMATE,16,14.7,EVCFABEB-18,P.O.R.
FABMATE,1,0.32,EVCFABEB-19,P.O.R.
FABMATE,2,0.84,EVCFABEB-20,€68.00
FABMATE,3,1.44,EVCFABEB-21,€75.00
