Material	Purity	Form	Price
MSE PRO	5N	(99.999%) Aluminum (Al) Pellets Evaporation Materials	$ 45.00
MSE PRO	Grade	702 Zirconium (Zr) Pellets Evaporation Materials	$ 106.90
MSE PRO	5N	(99.999%) Barium Fluoride (BaF2) Pieces (<3mm) Evaporation Materials	$ 169.00
MSE PRO	4N	(99.99%) Zinc (Zn) Pellets Evaporation Materials	$ 74.90
MSE PRO	3N5	(99.95%) Chromium (Cr) Pieces Evaporation Materials	$ 147.00
MSE PRO	4N	(99.99%) Silicon Dioxide (SiO2) Pieces Evaporation Materials	$ 97.50
MSE PRO	5N	(99.999%) Copper (Cu) Pellets Evaporation Materials	$ 69.00
MSE PRO	4N	(99.99%) Calcium Fluoride (CaF2) Pieces Evaporation Materials	$ 132.00
MSE PRO	3N	(99.9%) Hafnium Oxide (HfO2) Pieces Evaporation Materials	$ 245.00
MSE PRO	3N5	(99.95%) Tungsten (W) Pellets Evaporation Materials	$ 83.00
MSE PRO	4N	(99.99%) Tin (Sn) Pellets Evaporation Materials	$ 99.50
MSE PRO	4N	(99.99%) Strontium Fluoride (SrF2) Pieces (1-10mm) Evaporation Materials, 100g	$ 372.00
MSE PRO	3N5	(99.95%) Tantalum (Ta) Pellets Evaporation Materials	$ 169.00
MSE PRO	3N	(99.9%) Neodymium (Nd) Pieces (1-6mm) Evaporation Materials,100g	$ 297.00
MSE PRO	3N5	(99.95%) Molybdenum (Mo) Pellets Evaporation Materials	$ 199.00
MSE PRO	3N5	(99.95%) Magnesium Fluoride (MgF2) Pieces (1-3 mm) Evaporation Materials	$ 139.00
MSE PRO	3N5	(99.95%) Magnesium (Mg) Pellets Evaporation Materials	$ 159.00
MSE PRO	3N5	(99.95%) Iron (Fe) Pellets Evaporation Materials	$ 239.00
MSE PRO	4N	(99.99%) Indium Tin Oxide (In2O3/SnO290/10 wt%) Pieces Evaporation Materials	$ 199.00
MSE PRO	4N	(99.99%) Cerium Oxide CeO2Pieces Evaporation Materials	$ 237.50
