Material	Purity	Price	Description
MSE		$ 45.00	5N (99.999%) Aluminum (Al) Pellets Evaporation Materials
MSE		$ 106.90	Grade 702 Zirconium (Zr) Pellets Evaporation Materials
MSE		$ 169.00	5N (99.999%) Barium Fluoride (BaF2) Pieces (<3mm) Evaporation Materials
MSE		$ 74.90	4N (99.99%) Zinc (Zn) Pellets Evaporation Materials
MSE		$ 147.00	3N5 (99.95%) Chromium (Cr) Pieces Evaporation Materials
MSE		$ 97.50	4N (99.99%) Silicon Dioxide (SiO2) Pieces Evaporation Materials
MSE		$ 69.00	5N (99.999%) Copper (Cu) Pellets Evaporation Materials
MSE		$ 132.00	4N (99.99%) Calcium Fluoride (CaF2) Pieces Evaporation Materials
MSE		$ 245.00	3N (99.9%) Hafnium Oxide (HfO2) Pieces Evaporation Materials
MSE		$ 83.00	3N5 (99.95%) Tungsten (W) Pellets Evaporation Materials
MSE		$ 99.50	4N (99.99%) Tin (Sn) Pellets Evaporation Materials
MSE		$ 372.00	4N (99.99%) Strontium Fluoride (SrF2) Pieces (1-10mm) Evaporation Materials, 100g
MSE		$ 169.00	3N5 (99.95%) Tantalum (Ta) Pellets Evaporation Materials
MSE		$ 297.00	3N (99.9%) Neodymium (Nd) Pieces (1-6mm) Evaporation Materials,100g
MSE		$ 199.00	3N5 (99.95%) Molybdenum (Mo) Pellets Evaporation Materials
MSE		$ 139.00	3N5 (99.95%) Magnesium Fluoride (MgF2) Pieces (1-3 mm) Evaporation Materials
MSE		$ 159.00	3N5 (99.95%) Magnesium (Mg) Pellets Evaporation Materials
MSE		$ 239.00	3N5 (99.95%) Iron (Fe) Pellets Evaporation Materials
MSE		$ 199.00	4N (99.99%) Indium Tin Oxide (In2O3/SnO290/10 wt%) Pieces Evaporation Materials
MSE		$ 237.50	4N (99.99%) Cerium Oxide CeO2Pieces Evaporation Materials
MSE		$ 45.00	5N (99.999%) Aluminum (Al) Pellets Evaporation Materials
MSE		$ 106.90	Grade 702 Zirconium (Zr) Pellets Evaporation Materials
MSE		$ 169.00	5N (99.999%) Barium Fluoride (BaF2) Pieces (<3mm) Evaporation Materials
MSE		$ 74.90	4N (99.99%) Zinc (Zn) Pellets Evaporation Materials
MSE		$ 147.00	3N5 (99.95%) Chromium (Cr) Pieces Evaporation Materials
MSE		$ 97.50	4N (99.99%) Silicon Dioxide (SiO2) Pieces Evaporation Materials
MSE		$ 69.00	5N (99.999%) Copper (Cu) Pellets Evaporation Materials
MSE		$ 132.00	4N (99.99%) Calcium Fluoride (CaF2) Pieces Evaporation Materials
MSE		$ 245.00	3N (99.9%) Hafnium Oxide (HfO2) Pieces Evaporation Materials
MSE		$ 83.00	3N5 (99.95%) Tungsten (W) Pellets Evaporation Materials
MSE		$ 99.50	4N (99.99%) Tin (Sn) Pellets Evaporation Materials
MSE		$ 372.00	4N (99.99%) Strontium Fluoride (SrF2) Pieces (1-10mm) Evaporation Materials, 100g
MSE		$ 169.00	3N5 (99.95%) Tantalum (Ta) Pellets Evaporation Materials
MSE		$ 297.00	3N (99.9%) Neodymium (Nd) Pieces (1-6mm) Evaporation Materials,100g
MSE		$ 199.00	3N5 (99.95%) Molybdenum (Mo) Pellets Evaporation Materials
MSE		$ 139.00	3N5 (99.95%) Magnesium Fluoride (MgF2) Pieces (1-3 mm) Evaporation Materials
MSE		$ 159.00	3N5 (99.95%) Magnesium (Mg) Pellets Evaporation Materials
MSE		$ 239.00	3N5 (99.95%) Iron (Fe) Pellets Evaporation Materials
MSE		$ 199.00	4N (99.99%) Indium Tin Oxide (In2O3/SnO290/10 wt%) Pieces Evaporation Materials
MSE		$ 237.50	4N (99.99%) Cerium Oxide CeO2Pieces Evaporation Materials
MSE		$ 45.00	5N (99.999%) Aluminum (Al) Pellets Evaporation Materials
MSE		$ 106.90	Grade 702 Zirconium (Zr) Pellets Evaporation Materials
MSE		$ 169.00	5N (99.999%) Barium Fluoride (BaF2) Pieces (<3mm) Evaporation Materials
MSE		$ 74.90	4N (99.99%) Zinc (Zn) Pellets Evaporation Materials
MSE		$ 147.00	3N5 (99.95%) Chromium (Cr) Pieces Evaporation Materials
MSE		$ 97.50	4N (99.99%) Silicon Dioxide (SiO2) Pieces Evaporation Materials
MSE		$ 69.00	5N (99.999%) Copper (Cu) Pellets Evaporation Materials
MSE		$ 132.00	4N (99.99%) Calcium Fluoride (CaF2) Pieces Evaporation Materials
MSE		$ 245.00	3N (99.9%) Hafnium Oxide (HfO2) Pieces Evaporation Materials
MSE		$ 83.00	3N5 (99.95%) Tungsten (W) Pellets Evaporation Materials
MSE		$ 99.50	4N (99.99%) Tin (Sn) Pellets Evaporation Materials
MSE		$ 372.00	4N (99.99%) Strontium Fluoride (SrF2) Pieces (1-10mm) Evaporation Materials, 100g
MSE		$ 169.00	3N5 (99.95%) Tantalum (Ta) Pellets Evaporation Materials
MSE		$ 297.00	3N (99.9%) Neodymium (Nd) Pieces (1-6mm) Evaporation Materials,100g
MSE		$ 199.00	3N5 (99.95%) Molybdenum (Mo) Pellets Evaporation Materials
MSE		$ 139.00	3N5 (99.95%) Magnesium Fluoride (MgF2) Pieces (1-3 mm) Evaporation Materials
MSE		$ 159.00	3N5 (99.95%) Magnesium (Mg) Pellets Evaporation Materials
MSE		$ 239.00	3N5 (99.95%) Iron (Fe) Pellets Evaporation Materials
MSE		$ 199.00	4N (99.99%) Indium Tin Oxide (In2O3/SnO290/10 wt%) Pieces Evaporation Materials
MSE		$ 237.50	4N (99.99%) Cerium Oxide CeO2Pieces Evaporation Materials
MSE		$ 45.00	5N (99.999%) Aluminum (Al) Pellets Evaporation Materials
MSE		$ 106.90	Grade 702 Zirconium (Zr) Pellets Evaporation Materials
MSE		$ 169.00	5N (99.999%) Barium Fluoride (BaF2) Pieces (<3mm) Evaporation Materials
MSE		$ 74.90	4N (99.99%) Zinc (Zn) Pellets Evaporation Materials
MSE		$ 147.00	3N5 (99.95%) Chromium (Cr) Pieces Evaporation Materials
MSE		$ 97.50	4N (99.99%) Silicon Dioxide (SiO2) Pieces Evaporation Materials
