Material,Name,Formula,Purity,Price,Quantity,Rest
Aluminum,ALUMINUM PELLETS,N/A,1/4" DIAMETER X 1/2" LONG,GRADE 1199,€75.00, Al    1 POUND 1/4" Dia. x 1/2" Length 1 lb. 99.95% EVMAL1199QXH
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/2" LONG,1 lb.,€300.00, Al    ONE POUND 1/4" Dia. x 1/2" Length 99.99% EVMAL40QXH
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/2" LONG,50 GRAMS,€56.00, Al    1/4" Dia. x 1/2" Length 50 g 99.99% EVMAL40QXHB
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/2" LONG,100 GRAMS,€87.00, Al    1/4" Dia. x 1/2" Length 100 g 99.99% EVMAL40QXHD
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/2" LONG,250 GRAMS,P.O.R., AL    1/4" Dia. x 1/2" Length 250 g 99.99% EVMAL40QXHJ
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/2" LONG,1 KILOGRAM,P.O.R., Al    1/4" Dia. x 1/2" Length 1 kg 99.99% EVMAL40QXHKG
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/4" DIAMETER X 1/2" LONG,1 lb.,€305.00, Al    ONE POUND 1/4" Dia. x 1/2" Length 99.999% EVMAL50QXH
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/4" DIAMETER X 1/2" LONG,50 GRAMS,€61.00, Al    1/4" Dia. x 1/2" Length 50 g 99.999% EVMAL50QXHB
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/4" DIAMETER X 1/2" LONG,100 GRAMS,€92.00, Al    1/4" Dia. x 1/2" Length 100 g 99.999% EVMAL50QXHD
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/4" DIAMETER X 1/2" LONG,250 GRAMS,€198.00, Al    1/4" Dia. x 1/2" Length 250 g 99.999% EVMAL50QXHJ
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/4" DIAMETER X 1/2" LONG,1 KILOGRAM,€599.00, Al    1/4" Dia. x 1/2" Length 1 kg 99.999% EVMAL50QXHKG
Aluminum,ALUMINUM PELLETS,N/A,1/4" DIAMETER X 1/4" LONG,GRADE 1199,€100.00, Al    1 POUND 1/4" Dia. x 1/4" Length 1 lb. 99.95% EVMAL1199QXQ
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,1 lb.,€279.00, Al    1 POUND 1/4" Dia. x 1/4" Length 99.99% EVMAL40QXQ
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/4"LONG,25 GRAMS,€38.00, Al    1/4" Dia. x 1/4" Length 25 g 99.99% EVMAL40QXQA
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,50 GRAMS,€52.00, Al    1/4" Dia. x 1/4" Length 50 g 99.99% EVMAL40QXQB
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/4" DIAMETER x 1/4" LONG,100 GRAMS,€80.00, Al    1/4" Dia. x 1/4" Length 100 g 99.99% EVMAL40QXQD
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,250 GRAMS,€164.00, Al    1/4" Dia. x 1/4" Length 250 g 99.99% EVMAL40QXQJ
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,1 KILOGRAM,P.O.R., Al    1/4" Dia. x 1/4" Length 1 kg 99.99% EVMAL40QXQKG
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/4"LONG,500 GRAMS,€330.00, Al    1/4" Dia. x 1/4" Length 500 g 99.99% EVMAL40QXQT
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/4" DIAMETER X 1/4" LONG,1 lb.,€284.00, Al    1 POUND LOT 1/4" Dia. x 1/4" Length 99.999% EVMAL50QXQ
