Name,Material,Purity,Diameter,Lenght,Price,Rest
ALUMINUM PELLETS,Aluminum,N/A,1/4" DIAMETER X 1/2" LONG,GRADE 1199,€75.00, Al    1 POUND 1/4" Dia. x 1/2" Length 1 lb. 99.95% EVMAL1199QXH,Diameter,Length
ALUMINUM PELLETS,Aluminum,N/A,1/4" DIAMETER X 1/2" LONG,GRADE 1199,€75.00, Al    1 POUND 1/4" Dia. x 1/2" Length 1 lb. 99.95% EVMAL1199QXH,Diameter,Length
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/4" diameter,1/2" long,€300.00, Al    ONE POUND 1/4" Dia. x 1/2" Length 99.99% EVMAL40QXH
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/4" diameter,1/2" long,€56.00, Al    1/4" Dia. x 1/2" Length 50 g 99.99% EVMAL40QXHB
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/4" diameter,1/2" long,€87.00, Al    1/4" Dia. x 1/2" Length 100 g 99.99% EVMAL40QXHD
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/4" diameter,1/2" long,P.O.R., AL    1/4" Dia. x 1/2" Length 250 g 99.99% EVMAL40QXHJ
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/4" diameter,1/2" long,P.O.R., Al    1/4" Dia. x 1/2" Length 1 kg 99.99% EVMAL40QXHKG
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/4" diameter,1/2" long,€305.00, Al    ONE POUND 1/4" Dia. x 1/2" Length 99.999% EVMAL50QXH
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/4" diameter,1/2" long,€61.00, Al    1/4" Dia. x 1/2" Length 50 g 99.999% EVMAL50QXHB
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/4" diameter,1/2" long,€92.00, Al    1/4" Dia. x 1/2" Length 100 g 99.999% EVMAL50QXHD
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/4" diameter,1/2" long,€198.00, Al    1/4" Dia. x 1/2" Length 250 g 99.999% EVMAL50QXHJ
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/4" diameter,1/2" long,€599.00, Al    1/4" Dia. x 1/2" Length 1 kg 99.999% EVMAL50QXHKG
ALUMINUM PELLETS,Aluminum,N/A,1/4" diameter,1/4" long,€100.00, Al    1 POUND 1/4" Dia. x 1/4" Length 1 lb. 99.95% EVMAL1199QXQ
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/4" diameter,1/4" long,€279.00, Al    1 POUND 1/4" Dia. x 1/4" Length 99.99% EVMAL40QXQ
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/4" diameter,1/4"long,€38.00, Al    1/4" Dia. x 1/4" Length 25 g 99.99% EVMAL40QXQA
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/4" diameter,1/4" long,€52.00, Al    1/4" Dia. x 1/4" Length 50 g 99.99% EVMAL40QXQB
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/4" diameter,1/4" long,€80.00, Al    1/4" Dia. x 1/4" Length 100 g 99.99% EVMAL40QXQD
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/4" diameter,1/4" long,€164.00, Al    1/4" Dia. x 1/4" Length 250 g 99.99% EVMAL40QXQJ
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/4" diameter,1/4" long,P.O.R., Al    1/4" Dia. x 1/4" Length 1 kg 99.99% EVMAL40QXQKG
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/4" diameter,1/4"long,€330.00, Al    1/4" Dia. x 1/4" Length 500 g 99.99% EVMAL40QXQT
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/4" diameter,1/4" long,€284.00, Al    1 POUND LOT 1/4" Dia. x 1/4" Length 99.999% EVMAL50QXQ
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/4" diameter,1/4" long,€39.00, Al    1/4" Dia. x 1/4" Length 25 g 99.999% EVMAL50QXQ-A
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/4" diameter,1/4" long,€52.00, Al    1/4" Dia. x 1/4" Length 50 g 99.999% EVMAL50QXQ-B
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/4" diameter,1/4" long,€81.00, Al    1/4" Dia. x 1/4" Length 100 g 99.999% EVMAL50QXQ-D
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/4" diameter,1/4" long,€168.00, Al    1/4" Dia. x 1/4" Length 250 g 99.999% EVMAL50QXQ-J
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/4" diameter,1/4" long,€312.00, Al     SEE DOCUMENT HANDLING NOTES FOR SPECIAL INSTRUCTIONS  +/-0.005” DIA  +/-0.020” LONG 1/4" Dia. x 1/4" Length 500 g 99.999% EVMAL50QXQ-T
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/4" diameter,1/4" long,P.O.R., Al    1/4" Dia. x 1/4" Length 1 kg 99.999% EVMAL50QXQKG
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/8" diameter,1/4" long,P.O.R., Al    ONE POUND 1/8" Dia. x 1/4" Length 99.99% EVMAL40EXQ
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/8" diameter,1/4" long,€437.00, Al    1 POUND 1/8" Dia. x 1/4" Length 99.999% EVMAL50EXQ
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/8" diameter,1/4" long,P.O.R., Al    1/8" Dia. x 1/4" Length 25 g 99.999% EVMAL50EXQA
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/8" diameter,1/4" long,€97.00, Al    1/8" Dia. x 1/4" Length 50 g 99.999% EVMAL50EXQB
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/8" diameter,1/4" long,€134.00, Al    1/8" Dia. x 1/4" Length 100 g 99.999% EVMAL50EXQD
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/8" diameter,1/4" long,€273.00, Al    1/8" Dia. x 1/4" Length 250 g 99.999% EVMAL50EXQJ
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/8" diameter,1/8" long,€533.00, Al    1 POUND 1/8" Dia. x 1/8" Length 99.99% EVMAL40EXE
