Description,No. per Parck,Volts,Amps,Watts,Temp., Direction , weight,Price
Tantalum,1,1.93,125,241,1600°C,0.005,EVS17B005TA,€47.00
Tantalum,1,1.43,187,267,1600°C,0.01,EVS17B010TA,€58.00
Tantalum,1,2.15,158,340,1600°C,0.005,EVS17A005TA,P.O.R.
Tantalum,1,1.40,183,256,1600°C,0.01,EVS17A010TA,P.O.R.
Molybdenum,5,1.32,106,140,1400°C,0.005,EVS13005MO,€93.00
Tantalum,1,2.87,110,316,1600°C,0.005,EVS13005TA,€41.00
Tungsten,5,3.04,149,453,1800°C,0.005,EVS13005W,€104.00
Molybdenum,5,0.97,155,151,1400°C,0.01,EVS13010MO,€104.00
Tantalum,1,1.92,158,303,1600°C,0.01,EVS13010TA,€53.00
Molybdenum,5,0.94,94,88,1400°C,0.005,EVS27005MO,€89.00
Tantalum,1,2.09,99,207,1600°C,0.005,EVS27005TA,€36.00
Tungsten,5,2.22,134,297,1800°C,0.005,EVS27005W,€89.00
Molybdenum,5,0.75,148,111,1400°C,0.01,EVS27010MO,€100.00
Tantalum,1,1.48,137,203,1600°C,0.01,EVS27010TA,€19.00
Tungsten,5,1.57,185,290,1800°C,0.01,EVS27010W,€136.00
Molybdenum,5,0.87,73,64,1400°C,0.005,EVS16005MO,€47.00
Tantalum,5,1.49,65,97,1600°C,0.005,EVS16005TA,€77.00
Tungsten,5,1.58,110,174,1800°C,0.005,EVS16005W,€51.00
Molybdenum,5,0.72,131,94,1400°C,0.01,EVS16010MO,P.O.R.
Tantalum,5,1.17,115,135,1600°C,0.01,EVS16010TA,P.O.R.
Tungsten,5,1.11,143,159,1800°C,0.01,EVS16010W,€19.00
Molybdenum,5,1.76,86,151,1400°C,0.005,EVS15005MO,P.O.R.
Tantalum,5,3.80,90,342,1600°C,0.005,EVS15005TA,€131.00
Tungsten,5,4.08,144,588,1800°C,0.005,EVS15005W,€63.00
Molybdenum,5,1.23,129,159,1400°C,0.01,EVS15010MO,€80.00
Tantalum,1,2.86,133,380,1600°C,0.01,EVS15010TA,€11.00
Tungsten,5,3.04,200,608,1800°C,0.01,EVS15010W,P.O.R.
Tungsten,5,2.23,249,555,1800°C,0.015,EVS15015W,€100.00
Molybdenum,5,1.46,181,264,1400°C,0.005,EVS12A005MO,P.O.R.
Tantalum,1,2.97,197,585,1600°C,0.005,EVS12A005TA,P.O.R.
Molybdenum,5,1.11,267,296,1400°C,0.01,EVS12A010MO,P.O.R.
Tantalum,1,2.22,273,606,1600°C,0.01,EVS12A010TA,P.O.R.
Molybdenum,5,0.96,196,188,1400°C,0.005,EVS12B005MO,P.O.R.
Tantalum,1,1.82,203,369,1600°C,0.005,EVS12B005TA,€16.00
Molybdenum,5,0.78,320,250,1400°C,0.01,EVS12B010MO,€113.00
Tantalum,1,1.48,298,441,1600°C,0.01,EVS12B010TA,€14.00
Molybdenum,5,1.71,170,291,1400°C,0.005,EVS14005MO,€68.00
Tantalum,5,3.92,179,702,1600°C,0.005,EVS14005TA,€41.00
Tungsten,5,4.21,283,1191,1800°C,0.005,EVS14005W,€88.00
Molybdenum,5,1.19,240,286,1400°C,0.01,EVS14010MO,€84.00
Tantalum,1,2.53,259,655,1600°C,0.01,EVS14010TA,€13.00
Tungsten,1,2.52,402,1013,1800°C,0.01,EVS14010W,€26.00
Tungsten,1,2.40,459,1102,1800°C,0.015,EVS14015W,€28.00
Molybdenum,5,1.59,133,211,1400°C,0.005,EVS5005MO,€74.00
Tantalum,5,3.29,149,490,1600°C,0.005,EVS5005TA,P.O.R.
Tungsten,5,3.18,199,633,1800°C,0.005,EVS5005W,€83.00
Molybdenum,5,1.02,208,212,1400°C,0.01,EVS5010MO,P.O.R.
Tantalum,1,2.09,220,460,1600°C,0.01,EVS5010TA,€52.00
Tantalum,1,1.93,125,241,1600°C,0.005,EVS17B005TA,€47.00
Tantalum,1,1.43,187,267,1600°C,0.01,EVS17B010TA,€58.00
Tantalum,1,2.15,158,340,1600°C,0.005,EVS17A005TA,P.O.R.
Tantalum,1,1.40,183,256,1600°C,0.01,EVS17A010TA,P.O.R.
Molybdenum,5,1.32,106,140,1400°C,0.005,EVS13005MO,€93.00
Tantalum,1,2.87,110,316,1600°C,0.005,EVS13005TA,€41.00
Tungsten,5,3.04,149,453,1800°C,0.005,EVS13005W,€104.00
Molybdenum,5,0.97,155,151,1400°C,0.01,EVS13010MO,€104.00
Tantalum,1,1.92,158,303,1600°C,0.01,EVS13010TA,€53.00
Molybdenum,5,0.94,94,88,1400°C,0.005,EVS27005MO,€89.00
Tantalum,1,2.09,99,207,1600°C,0.005,EVS27005TA,€36.00
Tungsten,5,2.22,134,297,1800°C,0.005,EVS27005W,€89.00
Molybdenum,5,0.75,148,111,1400°C,0.01,EVS27010MO,€100.00
Tantalum,1,1.48,137,203,1600°C,0.01,EVS27010TA,€19.00
Tungsten,5,1.57,185,290,1800°C,0.01,EVS27010W,€136.00
Molybdenum,5,0.87,73,64,1400°C,0.005,EVS16005MO,€47.00
Tantalum,5,1.49,65,97,1600°C,0.005,EVS16005TA,€77.00
Tungsten,5,1.58,110,174,1800°C,0.005,EVS16005W,€51.00
Molybdenum,5,0.72,131,94,1400°C,0.01,EVS16010MO,P.O.R.
Tantalum,5,1.17,115,135,1600°C,0.01,EVS16010TA,P.O.R.
Tungsten,5,1.11,143,159,1800°C,0.01,EVS16010W,€19.00
Molybdenum,5,1.76,86,151,1400°C,0.005,EVS15005MO,P.O.R.
Tantalum,5,3.80,90,342,1600°C,0.005,EVS15005TA,€131.00
Tungsten,5,4.08,144,588,1800°C,0.005,EVS15005W,€63.00
Molybdenum,5,1.23,129,159,1400°C,0.01,EVS15010MO,€80.00
Tantalum,1,2.86,133,380,1600°C,0.01,EVS15010TA,€11.00
Tungsten,5,3.04,200,608,1800°C,0.01,EVS15010W,P.O.R.
Tungsten,5,2.23,249,555,1800°C,0.015,EVS15015W,€100.00
Molybdenum,5,1.46,181,264,1400°C,0.005,EVS12A005MO,P.O.R.
Tantalum,1,2.97,197,585,1600°C,0.005,EVS12A005TA,P.O.R.
Molybdenum,5,1.11,267,296,1400°C,0.01,EVS12A010MO,P.O.R.
Tantalum,1,2.22,273,606,1600°C,0.01,EVS12A010TA,P.O.R.
Molybdenum,5,0.96,196,188,1400°C,0.005,EVS12B005MO,P.O.R.
Tantalum,1,1.82,203,369,1600°C,0.005,EVS12B005TA,€16.00
Molybdenum,5,0.78,320,250,1400°C,0.01,EVS12B010MO,€113.00
Tantalum,1,1.48,298,441,1600°C,0.01,EVS12B010TA,€14.00
Molybdenum,5,1.71,170,291,1400°C,0.005,EVS14005MO,€68.00
Tantalum,5,3.92,179,702,1600°C,0.005,EVS14005TA,€41.00
Tungsten,5,4.21,283,1191,1800°C,0.005,EVS14005W,€88.00
Molybdenum,5,1.19,240,286,1400°C,0.01,EVS14010MO,€84.00
Tantalum,1,2.53,259,655,1600°C,0.01,EVS14010TA,€13.00
Tungsten,1,2.52,402,1013,1800°C,0.01,EVS14010W,€26.00
Tungsten,1,2.40,459,1102,1800°C,0.015,EVS14015W,€28.00
