Material,Description,No. per pack,Volts,Amps,Watts,Temp.,Part Number,Price
Tungsten,1 Wire x 0.040" Diameter,5,3.07,36,111,1800°C,EVF1040W,€38.00
Tungsten,3 Wires x 0.025" Diameter,5,3.00,42,126,1800°C,EVF13025W,€42.00
Tungsten,3 Wires x 0.030" Diameter,5,2.94,54,159,1800°C,EVF13030W,€47.00
Tungsten,3 Wires x 0.025" Diameter,5,3.43,49,168,1800°C,EVF23025W,€34.00
Tungsten,3 Wires x 0.030" Diameter,5,3.08,63,194,1800°C,EVF23030W,€37.00
Tungsten,4 Wires x 0.030" Diameter,5,2.70,77,208,1800°C,EVF24030W,€41.00
Tungsten,1 Wire x 0.040" Diameter,5,3.91,39,152,1800°C,EVF3040W,€37.00
Tungsten,2 Wires x 0.040" Diameter,5,4.00,68,272,1800°C,EVF32040W,€47.00
Tungsten,3 Wires x 0.025" Diameter,5,4.61,48,221,1800°C,EVF33025W,€38.00
Tungsten,3 Wires x 0.030" Diameter,5,4.15,60,249,1800°C,EVF33030W,€41.00
Tungsten,4 Wires x 0.030" Diameter,5,4.00,77,308,1800°C,EVF34030W,€51.00
Tungsten,1 Wire x 0.040" Diameter,5,3.70,38,141,1800°C,EVF4040W,€34.00
Tungsten,2 Wires x 0.040" Diameter,5,3.97,66,262,1800°C,EVF42040W,€51.00
Tungsten,3 Wires x 0.025" Diameter,5,5.29,48,254,1800°C,EVF43025W,€37.00
Tungsten,3 Wires x 0.030" Diameter,5,4.28,62,265,1800°C,EVF43030W,€41.00
Tungsten,4 Wires x 0.030" Diameter,5,3.63,73,265,1800°C,EVF44030W,€47.00
Tungsten,1 Wire x 0.040" Diameter,5,6.90,37,255,1800°C,EVF5040W,€45.00
Tungsten,2 Wires x 0.040" Diameter,5,6.82,64,436,1800°C,EVF52040W,P.O.R.
Tungsten,3 Wires x 0.025" Diameter,5,8.05,45,362,1800°C,EVF53025W,€53.00
Tungsten,3 Wires x 0.030" Diameter,5,6.58,57,375,1800°C,EVF53030W,€71.00
Tungsten,3 Wires x 0.040" Diameter,5,5.60,83,465,1800°C,EVF53040W,€75.00
Tungsten,4 Wires x 0.030" Diameter,5,6.10,69,421,1800°C,EVF54030W,€72.00
Tungsten,2 Wires x 0.040" Diameter,5,7.20,64,461,1800°C,EVF62040W,€72.00
Tungsten,3 Wires x 0.025" Diameter,5,8.72,44,384,1800°C,EVF63025W,€53.00
Tungsten,3 Wires x 0.030" Diameter,5,8.25,58,478,1800°C,EVF63030W,€58.00
Tungsten,3 Wires x 0.040" Diameter,5,6.42,84,539,1800°C,EVF63040W,P.O.R.
Tungsten,4 Wires x 0.030" Diameter,5,7.29,71,518,1800°C,EVF64030W,€69.00
Tungsten,2 Wires x 0.040" Diameter,5,10.97,55,603,1800°C,EVF72040W,€103.00
Tungsten,3 Wires x 0.030" Diameter,5,11.65,52,606,1800°C,EVF73030W,€89.00
Tungsten,3 Wires x 0.040" Diameter,1,9.40,78,733,1800°C,EVF73040W,€26.00
Tungsten,4 Wires x 0.030" Diameter,5,10.31,65,670,1800°C,EVF74030W,€101.00
Tungsten,2 Wires x 0.040" Diameter,5,5.00,66,330,1800°C,EVF82040W,€63.00
Tungsten,3 Wires x 0.030" Diameter,5,5.39,62,334,1800°C,EVF83030W,€48.00
Tungsten,3 Wires x 0.040" Diameter,5,4.61,87,401,1800°C,EVF83040W,€71.00
Tungsten,4 Wires x 0.030" Diameter,5,5.09,74,377,1800°C,EVF84030W,€62.00
Tungsten,2 Wires x 0.040" Diameter,5,6.66,65,433,1800°C,EVF92040W,€68.00
Tungsten,3 Wires x 0.030" Diameter,5,6.50,57,370,1800°C,EVF93030W,€67.00
Tungsten,3 Wires x 0.040" Diameter,5,5.43,86,467,1800°C,EVF93040W,€82.00
