Material,Name,Formula,Purity,Diameter mm,Diameter ",Thickness mm,Thickness ",Price,Rest
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT% 99.999% PURE,25.4,1.00",3.175,0.125",P.O.R.,   99.999% Most Standard Guns 1 EJTALCU501A2
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT% 99.999% PURE,25.4,1.00",6.35,0.250",P.O.R.,   99.999% Most Standard Guns 1 EJTALCU501A4
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,50.8,2.00",3.175,0.125",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU502A2
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,50.8,2.00",6.35,0.250",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU502A4
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,76.19999999999999,3.00",3.175,0.125",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU503A2
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,76.19999999999999,3.00",6.35,0.250",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU503A4
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,101.6,4.00",3.175,0.125",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU504A2
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,101.6,4.00",6.35,0.250",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU504A4
Aluminum Copper,N/A,Aluminum Copper,99.999% pure),152.39999999999998,6.00",3.175,0.125",P.O.R., 99.999% Most Standard Guns 1 EJTALCU506A2
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,152.39999999999998,6.00",6.35,0.250",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU506A4
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,25.4,1.0",3.175,0.125",€520.00, AlN     85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,25.4,1.0",6.35,0.250",€539.00, AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,50.8,2.0",3.175,0.125",€576.00, AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,50.8,2.0",6.35,0.250",€812.00, AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,76.19999999999999,3.0",3.175,0.125",€817.00, AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,76.19999999999999,3.0",6.35,0.250",P.O.R., AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,101.6,4.0",3.175,0.125",€1, AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1 148.00
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,101.6,4.0",6.35,0.250",P.O.R., AlN     HOT-PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,152.39999999999998,6.0",6.35,0.250",P.O.R., AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,25.4,1.0",3.175,0.125",€395.00,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,25.4,1.0",3.175,0.125",€431.00,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,25.4,1.0",6.35,0.250",€421.00,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,25.4,1.0",6.35,0.250",€479.00,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,50.8,2.0",3.175,0.125",€437.00,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,50.8,2.0",3.175,0.125",€694.00,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,50.8,2.0",6.35,0.250",€472.00,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,50.8,2.0",6.35,0.250",€662.00,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,76.19999999999999,3.0",3.175,0.125",€558.00,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,76.19999999999999,3.0",3.175,0.125",€777.00,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,76.19999999999999,3.0",6.35,0.250",€694.00,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,76.19999999999999,3.0",6.35,0.250",€856.00,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,101.6,4.0",3.175,0.125",P.O.R.,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,101.6,4.0",3.175,0.125",€1,Al2O3    99.999% Most Standard Guns 1 121.00
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,101.6,4.0",6.35,0.250",P.O.R.,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,101.6,4.0",6.35,0.250",€1,Al2O3    99.999% Most Standard Guns 1 137.00
